title,tipo,ano,doi_id,file_bruto_name
"Atividades experimentais no ensino de física: diferentes enfoques, diferentes finalidades",pesquisa em ensino de física,2003,,1554.html
Análise de uma exposição científica e proposta de intervenção,pesquisa em ensino de física,2003,10.1590/S0102-47442003000200009,1555.html
A contribuição francesa ao ensino e à pesquisa em geofísica no Estado da Bahia,história da física e ciências afins,2003,10.1590/S0102-47442003000200010,1556.html
Tradução de uma obra de Gauss,história da física e ciências afins,2003,10.1590/S1806-11172003000200011,1557.html
Bohr: O arquiteto do átomo,resenha,2003,10.1590/S1806-11172003000200012,1558.html
Um novo projeto da SBF: física para o Brasil pensando o futuro do ensino de física no País,editorial,2003,10.1590/S1806-11172003000300001,1559.html
Física no computador: o computador como uma ferramenta no ensino e na aprendizagem das ciências físicas,artigos gerais,2003,10.1590/S1806-11172003000300002,1560.html
Um experimento para medir velocidades como instrumento motivador no aprendizado de conceitos da ótica física,artigos gerais,2003,,1561.html
"Contração de Lorentz, lei de Gauss e lei de Ampère",artigos gerais,2003,10.1590/S1806-11172003000300004,1562.html
Um modelo de pilha elétrica,artigos gerais,2003,10.1590/S1806-11172003000300005,1563.html
Ondas do tipo sóliton em guias dielétricos,artigos gerais,2003,10.1590/S1806-11172003000300007,1564.html
Um modelo para interações entre quarks: a redução não-relativística em modelos de potenciais,artigos gerais,2003,10.1590/S1806-11172003000300008,1565.html
"Dificuldades dos alunos na aprendizagem da Lei de Ampère, à luz da teoria dos modelos mentais de Johnson-Laird",pesquisa em ensino de física,2003,10.1590/S1806-11172003000300009,1566.html
"Introdução à mecânica dos ""quanta"" Parte I",história da física e ciências afins,2003,10.1590/S1806-11172003000300010,1567.html
Desvendando o mistério do duplo cone,história da física e ciências afins,2003,10.1590/S0102-47442003000300011,1568.html
Vínculos não-holônomos e equações de Voronec,notas e discussões,2003,10.1590/S0102-47442003000300012,1569.html
Potência elétrica irradiada e potência mecânica dissipada no sistema de dois dipolos oscilantes próximos e em fase,notas e discussões,2003,10.1590/S1806-11172003000300013,1570.html
Medidas da umidade relativa do ar em um ambiente fechado,notas e discussões,2003,10.1590/S1806-11172003000300014,1571.html
"Feynman & Gell-Mann: Luzes, Quarks, Ação!",resenha,2003,10.1590/S1806-11172003000300015,1572.html
,errata,2003,10.1590/S1806-11172003000300016,1573.html
EDITORIAL,editorial,2003,10.1590/S1806-11172003000400001,1574.html
Sobre o desenvolvimento do campo elétrico nas vizinhanças de um ponto,cartas ao editor,2003,10.1590/S0102-47442003000400002,1575.html
A intrigante epidemia do ''divergente'',cartas ao editor,2003,10.1590/S1806-11172003000400003,1576.html
Facilitando a compreensão da segunda lei da termodinâmica,artigos gerais,2003,10.1590/S0102-47442003000400004,1577.html
"Quando e como o homem começou a ''ver"" os átomos!",artigos gerais,2003,10.1590/S0102-47442003000400005,1578.html
A eletrostática na corrente elétrica em fios,artigos gerais,2003,10.1590/S0102-47442003000400006,1579.html
Esfera em plano inclinado: conservação da energia mecânica e força de atrito,artigos gerais,2003,10.1590/S0102-47442003000400007,1580.html
Alguns problemas de eletromagnetismo envolvendo séries infinitas,artigos gerais,2003,10.1590/S0102-47442003000400008,1581.html
Densidade de carga elétrica num condutor retilíneo finito,artigos gerais,2003,10.1590/S0102-47442003000400009,1582.html
